Institute name,Area,City,Aws and devops,Java full stack,Data science and AI,python,Faculty Expertise,Training Methodology,Placement Rate,Average Salary in lpa,Placement Support,Internship Opportunities,Certifications Offered,review out of 5
balc cadd,rajajinagar,banglore,no,yes,no,yes,experience,offline training,good,3.4,job assisance,yes,yes,4.2
mass education academy,vijayanagar,banglore,no,yes,yes,yes,experience,offline training,good,4.0,job assisance,yes,yes,3.8
victory academy,ashok nagar,banglore,no,no,no,no,experience,offline training,good,3.0,job assisance,yes,yes,3.0
mindex solutions,marathahalli,banglore,no,no,yes,yes,experience,online and  offline training,good,3.5,job assisance,yes,yes,4.2
inspire educational academy,adugodi,banglore,no,yes,no,yes,experience,online and  offline training,good,3.8,job assisance,yes,yes,3.8
educadd rr nagar,rajarajeshwari nagar,banglore,yes,yes,no,yes,experience,online and  offline training,good,3.5,job assisance,yes,yes,3.8
iway trainings,rajajinagar,banglore,yes,yes,yes,yes,experience,online and  offline training,good,3.8,job assisance,yes,yes,4.0
technogrowth,vijayanagar,banglore,no,no,yes,yes,experience,online and  offline training,good,4.0,job assisance,yes,yes,3.8
radical technologies,electronic city,banglore,yes,yes,yes,yes,experience,online and  offline training,good,4.4,job assisance,yes,yes,4.0
educadd kalyan nagar,kalyan nagar,banglore,yes,yes,no,yes,experience,online and  offline training,good,3.4,job assisance,yes,yes,3.5
crystal training solutions,ramamurthy nagar,banglore,yes,yes,yes,yes,experience,online and  offline training,good,3.0,job assisance,yes,yes,3.6
balc cadd malleswaram,malleswaram,banglore,no,yes,yes,yes,experience,online and  offline training,good,4.0,job assisance,yes,yes,3.7
nacc,banashankari,banglore,no,yes,no,yes,experience,offline training,good,3.4,job assisance,yes,yes,3.0
master mind learning solutions,electronic city,banglore,yes,yes,yes,yes,experience,online and  offline training,good,4.0,job assisance,yes,yes,4.0
hackers university apc,m g road,banglore,yes,yes,yes,yes,experience,online and  offline training,good,4.4,job assisance,yes,yes,4.2
stravan technologies,sanjay nagar,banglore,no,yes,yes,yes,experience,online and  offline training,good,3.8,job assisance,yes,yes,3.8
apc learning solutions,ashoknagar,banglore,yes,yes,yes,yes,experience,online and  offline training,good,4.0,job assisance,yes,yes,4.3
